Z	A	name	Halflife
48	114	114Cd  -	stbl
49	114	114In  -	71.9
50	114	114Sn  -	stbl
51	114	114Sb  -	209.4
52	114	114Te  -	912
53	114	114I   -	2.1
54	114	114Xe  -	10
55	114	114Cs  -	0.57
56	114	114Ba  -	0.46
41	115	115Nb  -	0.023
42	115	115Mo  -	0.0455
43	115	115Tc  -	0.078
44	115	115Ru  -	0.318
45	115	115Rh  -	0.99
46	115	115Pd  -	25
47	115	115Ag  -	1200
48	115	115Cd  -	192456
49	115	115In  -	1.39074E+22
50	115	115Sn  -	stbl
51	115	115Sb  -	1926
53	115	115I   -	78
54	115	115Xe  -	18
55	115	115Cs  -	1.4
56	115	115Ba  -	0.45
42	116	116Mo  -	0.032
43	116	116Tc  -	0.057
44	116	116Ru  -	0.204
46	116	116Pd  -	11.8
47	116	116Ag  -	229.8
48	116	116Cd  -	9.05083E+26
49	116	116In  -	14.1
50	116	116Sn  -	stbl
51	116	116Sb  -	948
52	116	116Te  -	8964
53	116	116I   -	2.91
54	116	116Xe  -	59
56	116	116Ba  -	1.3
42	117	117Mo  -	0.022
43	117	117Tc  -	0.0445
44	117	117Ru  -	0.151
45	117	117Rh  -	0.421
46	117	117Pd  -	4.3
47	117	117Ag  -	73.6
48	117	117Cd  -	8964
49	117	117In  -	2592
50	117	117Sn  -	stbl
51	117	117Sb  -	10080
52	117	117Te  -	3720
53	117	117I   -	133.2
54	117	117Xe  -	61
56	117	117Ba  -	1.75
57	117	117La  -	0.0217
42	118	118Mo  -	0.021
43	118	118Tc  -	0.03
44	118	118Ru  -	0.099
45	118	118Rh  -	0.284
46	118	118Pd  -	1.9
47	118	118Ag  -	3.76
48	118	118Cd  -	3018
50	118	118Sn  -	stbl
51	118	118Sb  -	216
52	118	118Te  -	518400
53	118	118I   -	822
54	118	118Xe  -	228
56	118	118Ba  -	5.2
43	119	119Tc  -	0.022
44	119	119Ru  -	0.0695
45	119	119Rh  -	0.19
46	119	119Pd  -	0.92
48	119	119Cd  -	161.4
49	119	119In  -	144
50	119	119Sn  -	stbl
51	119	119Sb  -	137484
52	119	119Te  -	57780
53	119	119I   -	1146
54	119	119Xe  -	348
56	119	119Ba  -	5.4
43	120	120Tc  -	0.021
44	120	120Ru  -	0.045
45	120	120Rh  -	0.1296
46	120	120Pd  -	0.492
47	120	120Ag  -	1.52
48	120	120Cd  -	50.8
50	120	120Sn  -	stbl
52	120	120Te  -	stbl
53	120	120I   -	4900.2
54	120	120Xe  -	2760
56	120	120Ba  -	24
57	120	120La  -	2.8
43	121	121Tc  -	0.022
44	121	121Ru  -	0.029
45	121	121Rh  -	0.076
46	121	121Pd  -	0.29
48	121	121Cd  -	13.5
49	121	121In  -	23.1
50	121	121Sn  -	97308
51	121	121Sb  -	stbl
52	121	121Te  -	1656288
53	121	121I   -	7632
54	121	121Xe  -	2406
55	121	121Cs  -	155
56	121	121Ba  -	29.7
57	121	121La  -	5.3
58	121	121Ce  -	1.1
59	121	121Pr  -	0.012
44	122	122Ru  -	0.025
45	122	122Rh  -	0.051
46	122	122Pd  -	0.195
48	122	122Cd  -	5.24
50	122	122Sn  -	stbl
51	122	122Sb  -	235336.32
52	122	122Te  -	stbl
53	122	122I   -	217.8
54	122	122Xe  -	72360
55	122	122Cs  -	21.18
56	122	122Ba  -	117
57	122	122La  -	8.6
44	123	123Ru  -	0.019
45	123	123Rh  -	0.042
46	123	123Pd  -	0.108
48	123	123Cd  -	2.1
49	123	123In  -	6.17
50	123	123Sn  -	11162880
51	123	123Sb  -	stbl
52	123	123Te  -	stbl
53	123	123I   -	47604.6
54	123	123Xe  -	7488
55	123	123Cs  -	352.8
56	123	123Ba  -	162
57	123	123La  -	17
58	123	123Ce  -	3.8
44	124	124Ru  -	0.015
45	124	124Rh  -	0.03
46	124	124Pd  -	0.088
48	124	124Cd  -	1.25
50	124	124Sn  -	stbl
51	124	124Sb  -	5201280
52	124	124Te  -	stbl
53	124	124I   -	360806.4
54	124	124Xe  -	stbl
55	124	124Cs  -	30.9
56	124	124Ba  -	660
58	124	124Ce  -	9.1
59	124	124Pr  -	1.2
45	125	125Rh  -	0.0265
46	125	125Pd  -	0.057
48	125	125Cd  -	0.68
49	125	125In  -	2.36
50	125	125Sn  -	832896
51	125	125Sb  -	86995209.6
52	125	125Te  -	stbl
53	125	125I   -	5132764.8
54	125	125Xe  -	60840
55	125	125Cs  -	2802
56	125	125Ba  -	198
57	125	125La  -	64.8
58	125	125Ce  -	9.7
59	125	125Pr  -	3.3
60	125	125Nd  -	0.65
45	126	126Rh  -	0.019
46	126	126Pd  -	0.0486
47	126	126Ag  -	0.0993
48	126	126Cd  -	0.513
50	126	126Sn  -	7.25328E+12
51	126	126Sb  -	1067040
52	126	126Te  -	stbl
53	126	126I   -	1117152
54	126	126Xe  -	stbl
55	126	126Cs  -	98.4
56	126	126Ba  -	6000
58	126	126Ce  -	51
59	126	126Pr  -	3.12
45	127	127Rh  -	0.028
46	127	127Pd  -	0.038
47	127	127Ag  -	0.089
48	127	127Cd  -	0.33
49	127	127In  -	1.09
50	127	127Sn  -	7560
51	127	127Sb  -	332640
52	127	127Te  -	33660
53	127	127I   -	stbl
54	127	127Xe  -	3140294.4
55	127	127Cs  -	22500
56	127	127Ba  -	762
57	127	127La  -	306
58	127	127Ce  -	34
59	127	127Pr  -	4.2
60	127	127Nd  -	1.8
46	128	128Pd  -	0.035
47	128	128Ag  -	0.059
48	128	128Cd  -	0.246
49	128	128In  -	0.816
50	128	128Sn  -	3544.2
52	128	128Te  -	6.3072E+31
53	128	128I   -	1499.4
54	128	128Xe  -	stbl
55	128	128Cs  -	218.4
56	128	128Ba  -	209952
58	128	128Ce  -	235.8
59	128	128Pr  -	2.85
61	128	128Pm  -	1
46	129	129Pd  -	0.031
49	129	129In  -	0.57
50	129	129Sn  -	133.8
51	129	129Sb  -	15717.6
52	129	129Te  -	4176
53	129	129I   -	4.95115E+14
54	129	129Xe  -	stbl
55	129	129Cs  -	115416
56	129	129Ba  -	8028
57	129	129La  -	696
58	129	129Ce  -	210
59	129	129Pr  -	30
60	129	129Nd  -	6.8
61	129	129Pm  -	2.4
62	129	129Sm  -	0.55
47	130	130Ag  -	0.0406
48	130	130Cd  -	0.1268
50	130	130Sn  -	223.2
51	130	130Sb  -	2370
52	130	130Te  -	2.17598E+28
53	130	130I   -	44496
54	130	130Xe  -	stbl
55	130	130Cs  -	1752.6
56	130	130Ba  -	stbl
57	130	130La  -	522
58	130	130Ce  -	1374
59	130	130Pr  -	40
60	130	130Nd  -	21
61	130	130Pm  -	2.6
63	130	130Eu  -	0.001
47	131	131Ag  -	0.035
48	131	131Cd  -	0.098
49	131	131In  -	0.261
50	131	131Sn  -	56
51	131	131Sb  -	1381.8
52	131	131Te  -	1500
53	131	131I   -	693377.28
54	131	131Xe  -	stbl
55	131	131Cs  -	837129.6
56	131	131Ba  -	995328
57	131	131La  -	3540
58	131	131Ce  -	618
59	131	131Pr  -	90
60	131	131Nd  -	25.4
61	131	131Pm  -	6.3
62	131	131Sm  -	1.2
63	131	131Eu  -	0.0178
47	132	132Ag  -	0.03
48	132	132Cd  -	0.082
49	132	132In  -	0.198
50	132	132Sn  -	39.7
51	132	132Sb  -	167.4
52	132	132Te  -	276825.6
53	132	132I   -	8262
54	132	132Xe  -	stbl
55	132	132Cs  -	559872
56	132	132Ba  -	stbl
57	132	132La  -	17280
58	132	132Ce  -	12636
60	132	132Nd  -	93.6
61	132	132Pm  -	6.2
62	132	132Sm  -	4
48	133	133Cd  -	0.061
49	133	133In  -	0.165
50	133	133Sn  -	1.46
51	133	133Sb  -	140.4
52	133	133Te  -	750
53	133	133I   -	74988
54	133	133Xe  -	453384
55	133	133Cs  -	stbl
56	133	133Ba  -	332736336
57	133	133La  -	14083.2
58	133	133Ce  -	5820
59	133	133Pr  -	390
60	133	133Nd  -	70
61	133	133Pm  -	13.5
62	133	133Sm  -	2.89
48	134	134Cd  -	0.065
49	134	134In  -	0.14
50	134	134Sn  -	0.89
51	134	134Sb  -	0.78
52	134	134Te  -	2508
53	134	134I   -	3150
54	134	134Xe  -	stbl
55	134	134Cs  -	65128147.2
56	134	134Ba  -	stbl
57	134	134La  -	387
58	134	134Ce  -	273024
59	134	134Pr  -	1020
60	134	134Nd  -	510
62	134	134Sm  -	9.5
63	134	134Eu  -	0.5
49	135	135In  -	0.101
50	135	135Sn  -	0.515
51	135	135Sb  -	1.679
52	135	135Te  -	19
53	135	135I   -	23688
54	135	135Xe  -	32904
55	135	135Cs  -	4.19429E+13
56	135	135Ba  -	stbl
57	135	135La  -	70200
58	135	135Ce  -	63720
59	135	135Pr  -	1440
60	135	135Nd  -	744
61	135	135Pm  -	49
63	135	135Eu  -	1.5
64	135	135Gd  -	1.1
65	135	135Tb  -	0.00101
49	136	136In  -	0.086
50	136	136Sn  -	0.35
51	136	136Sb  -	0.923
52	136	136Te  -	17.63
53	136	136I   -	83.4
54	136	136Xe  -	6.90638E+28
55	136	136Cs  -	1137024
56	136	136Ba  -	stbl
57	136	136La  -	592.2
58	136	136Ce  -	stbl
59	136	136Pr  -	786
60	136	136Nd  -	3042
62	136	136Sm  -	47
49	137	137In  -	0.07
50	137	137Sn  -	0.273
51	137	137Sb  -	0.484
52	137	137Te  -	2.49
53	137	137I   -	24.13
54	137	137Xe  -	229.08
55	137	137Cs  -	948602880
56	137	137Ba  -	stbl
57	137	137La  -	1.89216E+12
58	137	137Ce  -	32400
59	137	137Pr  -	4608
60	137	137Nd  -	2310
62	137	137Sm  -	45
63	137	137Eu  -	8.4
64	137	137Gd  -	2.2
50	138	138Sn  -	0.15
51	138	138Sb  -	0.348
52	138	138Te  -	1.4
53	138	138I   -	6.23
54	138	138Xe  -	848.4
55	138	138Cs  -	2004.6
56	138	138Ba  -	stbl
57	138	138La  -	3.21667E+18
58	138	138Ce  -	stbl
59	138	138Pr  -	87
60	138	138Nd  -	18144
62	138	138Sm  -	186
63	138	138Eu  -	12.1
64	138	138Gd  -	4.7
50	139	139Sn  -	0.13
51	139	139Sb  -	0.093
53	139	139I   -	2.282
54	139	139Xe  -	39.68
55	139	139Cs  -	556.2
56	139	139Ba  -	4987.8
57	139	139La  -	stbl
58	139	139Ce  -	11892182.4
59	139	139Pr  -	15876
60	139	139Nd  -	1782
61	139	139Pm  -	249
62	139	139Sm  -	154.2
63	139	139Eu  -	17.9
65	139	139Tb  -	1.6
66	139	139Dy  -	0.6
53	140	140I   -	0.86
54	140	140Xe  -	13.6
55	140	140Cs  -	63.7
56	140	140Ba  -	1101833.28
57	140	140La  -	145026
58	140	140Ce  -	stbl
59	140	140Pr  -	203.4
60	140	140Nd  -	291168
61	140	140Pm  -	9.2
62	140	140Sm  -	889.2
63	140	140Eu  -	1.51
64	140	140Gd  -	15.8
65	140	140Tb  -	2.32
67	140	140Ho  -	0.006
53	141	141I   -	0.43
54	141	141Xe  -	1.73
55	141	141Cs  -	24.84
56	141	141Ba  -	1096.2
57	141	141La  -	14112
58	141	141Ce  -	2808950.4
59	141	141Pr  -	stbl
60	141	141Nd  -	8964
61	141	141Pm  -	1254
62	141	141Sm  -	612
63	141	141Eu  -	40.7
64	141	141Gd  -	14
66	141	141Dy  -	0.9
67	141	141Ho  -	0.0041
53	142	142I   -	0.222
54	142	142Xe  -	1.23
55	142	142Cs  -	1.684
56	142	142Ba  -	636
57	142	142La  -	5466
58	142	142Ce  -	stbl
59	142	142Pr  -	68832
60	142	142Nd  -	stbl
61	142	142Pm  -	40.5
62	142	142Sm  -	4349.4
63	142	142Eu  -	2.36
64	142	142Gd  -	70.2
65	142	142Tb  -	0.597
66	142	142Dy  -	2.3
67	142	142Ho  -	0.4
53	143	143I   -	0.13
54	143	143Xe  -	0.511
55	143	143Cs  -	1.791
56	143	143Ba  -	14.5
57	143	143La  -	852
58	143	143Ce  -	118940.4
59	143	143Pr  -	1172448
60	143	143Nd  -	stbl
61	143	143Pm  -	22896000
62	143	143Sm  -	525
63	143	143Eu  -	155.4
64	143	143Gd  -	39
66	143	143Dy  -	5.6
54	144	144Xe  -	0.388
56	144	144Ba  -	11.5
57	144	144La  -	40.8
58	144	144Ce  -	24616224
59	144	144Pr  -	1036.8
60	144	144Nd  -	7.22174E+22
61	144	144Pm  -	31363200
62	144	144Sm  -	stbl
63	144	144Eu  -	10.2
64	144	144Gd  -	268.2
66	144	144Dy  -	9.1
67	144	144Ho  -	0.7
69	144	144Tm  -	0.0000023
54	145	145Xe  -	0.188
55	145	145Cs  -	0.582
56	145	145Ba  -	4.31
57	145	145La  -	24.8
58	145	145Ce  -	180.6
59	145	145Pr  -	21542.4
60	145	145Nd  -	stbl
61	145	145Pm  -	558187200
62	145	145Sm  -	29376000
63	145	145Eu  -	512352
64	145	145Gd  -	1380
66	145	145Dy  -	9.5
68	145	145Er  -	0.9
69	145	145Tm  -	0.00000317
54	146	146Xe  -	0.146
55	146	146Cs  -	0.323
56	146	146Ba  -	2.22
58	146	146Ce  -	811.2
59	146	146Pr  -	1449
60	146	146Nd  -	stbl
61	146	146Pm  -	174394080
62	146	146Sm  -	2.14445E+15
63	146	146Eu  -	398304
64	146	146Gd  -	4170528
66	146	146Dy  -	33.2
67	146	146Ho  -	2.8
68	146	146Er  -	1.7
69	146	146Tm  -	0.155
54	147	147Xe  -	0.13
55	147	147Cs  -	0.23
56	147	147Ba  -	0.894
57	147	147La  -	4.06
58	147	147Ce  -	56.4
59	147	147Pr  -	804
60	147	147Nd  -	948672
61	147	147Pm  -	82731542.4
62	147	147Sm  -	3.36174E+18
63	147	147Eu  -	2082240
64	147	147Gd  -	137016
65	147	147Tb  -	5904
66	147	147Dy  -	67
67	147	147Ho  -	5.8
69	147	147Tm  -	0.58
55	148	148Cs  -	0.145
56	148	148Ba  -	0.62
57	148	148La  -	1.35
58	148	148Ce  -	56.8
59	148	148Pr  -	137.4
60	148	148Nd  -	stbl
61	148	148Pm  -	463795.2
62	148	148Sm  -	1.98677E+23
63	148	148Eu  -	4708800
64	148	148Gd  -	2235902400
65	148	148Tb  -	3600
66	148	148Dy  -	198
67	148	148Ho  -	2.2
68	148	148Er  -	4.6
69	148	148Tm  -	0.7
55	149	149Cs  -	0.113
56	149	149Ba  -	0.348
57	149	149La  -	1.07
58	149	149Ce  -	4.94
59	149	149Pr  -	135.6
60	149	149Nd  -	6220.8
61	149	149Pm  -	191088
62	149	149Sm  -	stbl
63	149	149Eu  -	8043840
64	149	149Gd  -	801792
65	149	149Tb  -	14824.8
66	149	149Dy  -	252
67	149	149Ho  -	21.1
68	149	149Er  -	4
69	149	149Tm  -	0.9
70	149	149Yb  -	0.7
55	150	150Cs  -	0.0844
56	150	150Ba  -	0.259
57	150	150La  -	0.504
58	150	150Ce  -	6.05
59	150	150Pr  -	6.19
60	150	150Nd  -	2.58595E+26
61	150	150Pm  -	9712.8
62	150	150Sm  -	stbl
63	150	150Eu  -	1163678400
64	150	150Gd  -	5.64494E+13
65	150	150Tb  -	12528
66	150	150Dy  -	430.2
68	150	150Er  -	18.5
71	150	150Lu  -	0.045
55	151	151Cs  -	0.069
56	151	151Ba  -	0.167
57	151	151La  -	0.465
58	151	151Ce  -	1.76
59	151	151Pr  -	18.9
60	151	151Nd  -	746.4
61	151	151Pm  -	102240
62	151	151Sm  -	2838240000
63	151	151Eu  -	1.45066E+26
64	151	151Gd  -	10704960
65	151	151Tb  -	63392.4
66	151	151Dy  -	1074
67	151	151Ho  -	35.2
68	151	151Er  -	23.5
69	151	151Tm  -	4.17
70	151	151Yb  -	1.6
71	151	151Lu  -	0.0784
56	152	152Ba  -	0.139
57	152	152La  -	0.287
58	152	152Ce  -	1.42
59	152	152Pr  -	3.57
60	152	152Nd  -	684
62	152	152Sm  -	stbl
63	152	152Eu  -	426272112
64	152	152Gd  -	3.40589E+21
65	152	152Tb  -	63000
66	152	152Dy  -	8568
67	152	152Ho  -	161.8
68	152	152Er  -	10.3
70	152	152Yb  -	3.03
71	152	152Lu  -	0.65
56	153	153Ba  -	0.116
57	153	153La  -	0.245
58	153	153Ce  -	0.865
59	153	153Pr  -	4.28
60	153	153Nd  -	31.6
61	153	153Pm  -	315
62	153	153Sm  -	166622.4
63	153	153Eu  -	stbl
64	153	153Gd  -	20770560
65	153	153Tb  -	202176
66	153	153Dy  -	23040
67	153	153Ho  -	120.6
68	153	153Er  -	37.1
69	153	153Tm  -	1.48
70	153	153Yb  -	4.2
71	153	153Lu  -	0.9
56	154	154Ba  -	0.053
57	154	154La  -	0.161
58	154	154Ce  -	0.722
59	154	154Pr  -	2.3
60	154	154Nd  -	25.9
62	154	154Sm  -	stbl
63	154	154Eu  -	271241136
64	154	154Gd  -	stbl
66	154	154Dy  -	9.4608E+13
67	154	154Ho  -	705.6
68	154	154Er  -	223.8
70	154	154Yb  -	0.409
72	154	154Hf  -	2
57	155	155La  -	0.101
58	155	155Ce  -	0.313
59	155	155Pr  -	1.47
60	155	155Nd  -	8.9
61	155	155Pm  -	41.5
62	155	155Sm  -	1338
63	155	155Eu  -	149512176
64	155	155Gd  -	stbl
65	155	155Tb  -	459648
66	155	155Dy  -	35640
67	155	155Ho  -	2880
68	155	155Er  -	318
69	155	155Tm  -	21.6
70	155	155Yb  -	1.793
71	155	155Lu  -	0.0686
72	155	155Hf  -	0.84
73	155	155Ta  -	0.0032
57	156	156La  -	0.084
58	156	156Ce  -	0.233
59	156	156Pr  -	0.444
60	156	156Nd  -	5.06
61	156	156Pm  -	27.2
62	156	156Sm  -	33840
63	156	156Eu  -	1312416
64	156	156Gd  -	stbl
65	156	156Tb  -	462240
66	156	156Dy  -	stbl
67	156	156Ho  -	3360
68	156	156Er  -	1170
69	156	156Tm  -	83.8
70	156	156Yb  -	26.1
72	156	156Hf  -	0.023
73	156	156Ta  -	0.106
58	157	157Ce  -	0.175
59	157	157Pr  -	0.307
60	157	157Nd  -	1.15
61	157	157Pm  -	10.56
62	157	157Sm  -	481.8
63	157	157Eu  -	54648
64	157	157Gd  -	stbl
65	157	157Tb  -	2239056000
66	157	157Dy  -	29304
67	157	157Ho  -	756
68	157	157Er  -	1119
69	157	157Tm  -	217.8
70	157	157Yb  -	38.6
71	157	157Lu  -	6.8
72	157	157Hf  -	0.115
73	157	157Ta  -	0.0101
74	157	157W   -	0.275
58	158	158Ce  -	0.099
59	158	158Pr  -	0.181
60	158	158Nd  -	0.81
61	158	158Pm  -	4.8
62	158	158Sm  -	318
63	158	158Eu  -	2754
64	158	158Gd  -	stbl
65	158	158Tb  -	5676480000
66	158	158Dy  -	stbl
67	158	158Ho  -	678
68	158	158Er  -	8244
70	158	158Yb  -	89.4
71	158	158Lu  -	10.6
72	158	158Hf  -	0.99
73	158	158Ta  -	0.049
74	158	158W   -	0.00125
59	159	159Pr  -	0.134
60	159	159Nd  -	0.5
61	159	159Pm  -	1.49
62	159	159Sm  -	11.37
63	159	159Eu  -	1086
64	159	159Gd  -	66524.4
65	159	159Tb  -	stbl
66	159	159Dy  -	12476160
67	159	159Ho  -	1983
68	159	159Er  -	2160
69	159	159Tm  -	547.8
70	159	159Yb  -	100.2
72	159	159Hf  -	5.2
73	159	159Ta  -	1.04
74	159	159W   -	0.0082
59	160	160Pr  -	0.17
60	160	160Nd  -	0.439
61	160	160Pm  -	0.725
62	160	160Sm  -	9.6
63	160	160Eu  -	42.4
64	160	160Gd  -	stbl
65	160	160Tb  -	6246720
66	160	160Dy  -	stbl
67	160	160Ho  -	1536
68	160	160Er  -	102888
69	160	160Tm  -	564
70	160	160Yb  -	288
72	160	160Hf  -	13.6
74	160	160W   -	0.09
75	160	160Re  -	0.000611
60	161	161Nd  -	0.215
61	161	161Pm  -	1.05
62	161	161Sm  -	4.8
63	161	161Eu  -	26.2
64	161	161Gd  -	218.76
65	161	161Tb  -	595296
66	161	161Dy  -	stbl
67	161	161Ho  -	8928
68	161	161Er  -	11556
69	161	161Tm  -	1812
70	161	161Yb  -	252
71	161	161Lu  -	77
72	161	161Hf  -	18.4
74	161	161W   -	0.409
75	161	161Re  -	0.00044
76	161	161Os	0.00064
60	162	162Nd  -	0.31
61	162	162Pm  -	0.63
62	162	162Sm  -	2.7
64	162	162Gd  -	504
65	162	162Tb  -	456
66	162	162Dy  -	stbl
67	162	162Ho  -	900
68	162	162Er  -	stbl
69	162	162Tm  -	1302
70	162	162Yb  -	1132.2
72	162	162Hf  -	39.4
73	162	162Ta  -	3.57
74	162	162W   -	1.19
75	162	162Re  -	0.107
76	162	162Os  -	0.0021
61	163	163Pm  -	0.43
62	163	163Sm  -	1.3
63	163	163Eu  -	7.7
64	163	163Gd  -	68
65	163	163Tb  -	1170
66	163	163Dy  -	stbl
67	163	163Ho  -	1.4412E+11
68	163	163Er  -	4500
69	163	163Tm  -	6516
70	163	163Yb  -	663
71	163	163Lu  -	238.2
72	163	163Hf  -	40
73	163	163Ta  -	10.6
74	163	163W   -	2.63
75	163	163Re  -	0.39
76	163	163Os  -	0.0055
62	164	164Sm  -	1.43
63	164	164Eu  -	4.15
64	164	164Gd  -	45
65	164	164Tb  -	180
66	164	164Dy  -	stbl
67	164	164Ho  -	1740
68	164	164Er  -	stbl
70	164	164Yb  -	4548
71	164	164Lu  -	188.4
72	164	164Hf  -	111
73	164	164Ta  -	14.2
74	164	164W   -	6.3
76	164	164Os  -	0.021
62	165	165Sm  -	0.98
63	165	165Eu  -	2.53
64	165	165Gd  -	11
65	165	165Tb  -	126.6
66	165	165Dy  -	8402.4
67	165	165Ho  -	stbl
68	165	165Er  -	37296
69	165	165Tm  -	108216
70	165	165Yb  -	594
71	165	165Lu  -	644.4
72	165	165Hf  -	76
73	165	165Ta  -	31
74	165	165W   -	5.1
76	165	165Os  -	0.071
62	166	166Sm  -	0.8
63	166	166Eu  -	1.24
64	166	166Gd  -	5.1
65	166	166Tb  -	27.1
66	166	166Dy  -	293760
67	166	166Ho  -	96566.4
68	166	166Er  -	stbl
69	166	166Tm  -	27720
70	166	166Yb  -	204120
71	166	166Lu  -	159
72	166	166Hf  -	406.2
73	166	166Ta  -	34.4
74	166	166W   -	19.2
75	166	166Re  -	2.25
76	166	166Os  -	0.213
77	166	166Ir  -	0.0105
78	166	166Pt	0.0003
63	167	167Eu  -	1.33
64	167	167Gd  -	4.2
65	167	167Tb  -	18.9
66	167	167Dy  -	372
67	167	167Ho  -	11160
68	167	167Er  -	stbl
69	167	167Tm  -	799200
70	167	167Yb  -	1050
72	167	167Hf  -	123
73	167	167Ta  -	79.8
74	167	167W   -	19.9
76	167	167Os  -	0.839
77	167	167Ir  -	0.0293
78	167	167Pt	0.0008
63	168	168Eu  -	0.2
64	168	168Gd  -	3.03
65	168	168Tb  -	9.4
66	168	168Dy  -	522
67	168	168Ho  -	179.4
68	168	168Er  -	stbl
69	168	168Tm  -	8043840
70	168	168Yb  -	stbl
71	168	168Lu  -	330
72	168	168Hf  -	1557
73	168	168Ta  -	120
74	168	168W   -	50.9
75	168	168Re  -	4.4
76	168	168Os  -	2.1
77	168	168Ir  -	0.23
78	168	168Pt  -	0.00202
64	169	169Gd  -	0.75
65	169	169Tb  -	5.13
66	169	169Dy  -	39
67	169	169Ho  -	283.2
68	169	169Er  -	811468.8
69	169	169Tm  -	stbl
70	169	169Yb  -	2766355.2
71	169	169Lu  -	122616
72	169	169Hf  -	194.4
73	169	169Ta  -	294
74	169	169W   -	74
75	169	169Re  -	8.1
76	169	169Os  -	3.46
77	169	169Ir  -	0.353
78	169	169Pt  -	0.00699
64	170	170Gd  -	0.42
65	170	170Tb  -	0.96
66	170	170Dy  -	54.9
68	170	170Er  -	stbl
69	170	170Tm  -	11111040
70	170	170Yb  -	stbl
71	170	170Lu  -	173836.8
72	170	170Hf  -	57636
73	170	170Ta  -	405.6
74	170	170W   -	145.2
75	170	170Re  -	9.2
76	170	170Os  -	7.37
77	170	170Ir  -	0.91
78	170	170Pt  -	0.01393
79	170	170Au	0.00029
65	171	171Tb  -	1.23
66	171	171Dy  -	4.07
67	171	171Ho  -	53
68	171	171Er  -	27057.6
69	171	171Tm  -	60549120
70	171	171Yb  -	stbl
71	171	171Lu  -	711936
72	171	171Hf  -	43560
73	171	171Ta  -	1398
74	171	171W   -	142.8
75	171	171Re  -	15.2
76	171	171Os  -	8.3
77	171	171Ir  -	3.1
78	171	171Pt  -	0.0455
79	171	171Au	0.0000223
80	171	171Hg	0.00007
65	172	172Tb  -	0.76
66	172	172Dy  -	3.4
67	172	172Ho  -	25
68	172	172Er  -	177480
69	172	172Tm  -	228960
70	172	172Yb  -	stbl
71	172	172Lu  -	578880
72	172	172Hf  -	58972320
73	172	172Ta  -	2208
74	172	172W   -	396
76	172	172Os  -	19.2
77	172	172Ir  -	4.4
78	172	172Pt  -	0.0976
79	172	172Au	0.028
80	172	172Hg	0.000231
66	173	173Dy  -	1.43
67	173	173Ho  -	6.9
68	173	173Er  -	86.04
69	173	173Tm  -	29664
70	173	173Yb  -	stbl
71	173	173Lu  -	43204320
72	173	173Hf  -	84960
73	173	173Ta  -	11304
74	173	173W   -	456
75	173	173Re  -	120
76	173	173Os  -	22.4
77	173	173Ir  -	9
78	173	173Pt  -	0.382
79	173	173Au  -	0.0255
80	173	173Hg	0.0008
67	174	174Ho  -	3.2
68	174	174Er  -	192
69	174	174Tm  -	324
70	174	174Yb  -	stbl
71	174	174Lu  -	104384160
72	174	174Hf  -	6.3072E+22
73	174	174Ta  -	4104
74	174	174W   -	1992
75	174	174Re  -	144
76	174	174Os  -	44
77	174	174Ir  -	7.9
78	174	174Pt  -	0.889
79	174	174Au  -	0.139
80	174	174Hg	0.002
67	175	175Ho  -	1.88
68	175	175Er  -	72
69	175	175Tm  -	912
70	175	175Yb  -	361584
71	175	175Lu  -	stbl
72	175	175Hf  -	6104160
73	175	175Ta  -	37800
74	175	175W   -	2112
75	175	175Re  -	353.4
76	175	175Os  -	84
77	175	175Ir  -	9
78	175	175Pt  -	2.43
79	175	175Au  -	0.202
80	175	175Hg	0.0106
69	176	176Tm  -	111
70	176	176Yb  -	stbl
71	176	176Lu  -	1.16179E+18
72	176	176Hf  -	stbl
73	176	176Ta  -	29124
74	176	176W   -	9000
75	176	176Re  -	318
76	176	176Os  -	216
77	176	176Ir  -	8.7
78	176	176Pt  -	6.33
80	176	176Hg  -	0.0203
81	176	176Tl	0.0062
69	177	177Tm  -	90
70	177	177Yb  -	6879.6
71	177	177Lu  -	574188.48
72	177	177Hf  -	stbl
73	177	177Ta  -	203616
74	177	177W   -	7920
75	177	177Re  -	840
76	177	177Os  -	180
77	177	177Ir  -	30
78	177	177Pt  -	10.6
79	177	177Au  -	1.46
80	177	177Hg  -	0.1273
81	177	177Tl	0.018
70	178	178Yb  -	4440
71	178	178Lu  -	1704
72	178	178Hf  -	stbl
74	178	178W   -	1866240
75	178	178Re  -	792
76	178	178Os  -	300
77	178	178Ir  -	12
78	178	178Pt  -	20.7
79	178	178Au  -	2.6
80	178	178Hg  -	0.2665
81	178	178Tl	0.255
82	178	178Pb	0.00023
70	179	179Yb  -	480
71	179	179Lu  -	16524
72	179	179Hf  -	stbl
73	179	179Ta  -	57395520
74	179	179W   -	2223
75	179	179Re  -	1170
76	179	179Os  -	390
77	179	179Ir  -	79
78	179	179Pt  -	21.2
79	179	179Au  -	7.1
80	179	179Hg  -	1.05
81	179	179Tl	0.265
82	179	179Pb	0.0039
70	180	180Yb  -	144
71	180	180Lu  -	342
72	180	180Hf  -	stbl
73	180	180Ta  -	29354.4
74	180	180W   -	5.67648E+25
75	180	180Re  -	147.6
76	180	180Os  -	1290
77	180	180Ir  -	90
78	180	180Pt  -	56
79	180	180Au  -	8.4
80	180	180Hg  -	2.59
81	180	180Tl	1.09
82	180	180Pb	0.0041
71	181	181Lu  -	210
