    F     9    25    34     1.79734921e+02     4.57224485e+01     2.25457370e+02       20.280     3.074405e-03   0.003   0.000   0.022   0.000   0.134   0.841   4.784        7.833683         8.427610         8.870207
    F     9    26    35     1.95316159e+02     6.20741659e+01     2.57390325e+02       24.117     2.692981e-03   0.002   0.001   0.000   0.024   0.000   0.972   4.936        8.084196         8.696143         7.645161
    F     9    27    36     2.09356833e+02     7.89579782e+01     2.88314811e+02       27.386     2.404133e-03   0.002   0.000   0.001   0.000   0.007   0.990   4.980        8.284982         8.908091         9.077126
    F     9    28    37     2.25783978e+02     1.00426323e+02     3.26210301e+02       30.786     2.124848e-03   0.002   0.000   0.000   0.000   0.000   0.998   4.989        8.516994         9.153510         7.989496
    F     9    29    38     2.38706562e+02     1.24831092e+02     3.63537653e+02       34.338     1.906672e-03   0.002   0.000   0.000   0.000   0.000   0.998   4.991        8.751533         9.403767         9.294899
   Ne    10    13    23     0.00000000e+00     0.00000000e+00     0.00000000e+00        0.000     1.000000e+32   1.000   0.000   0.000   0.000   0.000   0.000   0.000        0.000000         0.000000         0.000000
   Ne    10    14    24     4.99660876e-09     0.00000000e+00     4.99660876e-09        0.000     1.387235e+08   1.000   0.000   0.000   0.000   0.000   0.000   0.000        0.040502         0.094591         1.456207
   Ne    10    15    25     9.51370476e-03     0.00000000e+00     9.51370476e-03        0.000     7.285776e+01   0.999   0.001   0.000   0.000   0.000   0.000   0.001        1.525518         1.914178         2.653503
   Ne    10    16    26     5.10298852e-01     1.18413000e-06     5.10300036e-01        0.000     1.358313e+00   0.997   0.002   0.000   0.000   0.000   0.000   0.003        3.022782         3.467652         0.000000
   Ne    10    17    27     4.72123893e+00     3.81600200e-04     4.72162053e+00        0.008     1.468028e-01   0.989   0.009   0.001   0.000   0.000   0.000   0.012        4.083664         4.547875         1.740662
   Ne    10    18    28     1.49092715e+01     4.31765300e-03     1.49135892e+01        0.029     4.647756e-02   0.978   0.020   0.001   0.001   0.000   0.000   0.024        4.712796         5.185159         0.169144
   Ne    10    19    29     3.66179006e+01     2.11646260e-02     3.66390653e+01        0.058     1.891826e-02   0.969   0.007   0.023   0.000   0.000   0.000   0.057        5.348640         5.827792         2.398268
   Ne    10    20    30     7.92996913e+01     1.93103660e-02     7.93190016e+01        0.024     8.738728e-03   0.949   0.021   0.028   0.001   0.000   0.000   0.084        5.988798         6.473660         1.108342
   Ne    10    21    31     8.68572259e+01     2.96876797e+00     8.98259939e+01        3.305     7.716555e-03   0.039   0.733   0.189   0.030   0.008   0.001   1.238        6.265618         6.778899         5.597683
